,Id,groupId,matchId,assists,boosts,damageDealt,DBNOs,headshotKills,heals,killPlace,killPoints,kills,killStreaks,longestKill,matchDuration,matchType,maxPlace,numGroups,rankPoints,revives,rideDistance,roadKills,swimDistance,teamKills,vehicleDestroys,walkDistance,weaponsAcquired,winPoints,winPlacePerc
3980392,1fdf906d152644,f00195b2d9d4ae,96979cb196a8eb,0,2,0.0,0,0,6,59,0,0,0,0.0,1883,squad,30,28,1500,0,145.8,0,0.0,0,0,3851.0,8,0,0.6552
2239736,ffe0c4090cb8b4,729e23962383e3,4ad654434314df,0,2,217.1,2,0,1,22,0,2,2,6.646,1875,squad-fpp,26,25,1485,0,0.0,0,0.0,0,0,1462.0,5,0,0.6
1524762,e4c4a682901463,a260bad6273f10,6e5c1a0a0d7178,0,4,0.0,0,0,0,48,0,0,0,0.0,1932,squad,28,28,1483,0,2456.0,0,0.0,0,0,1634.0,4,0,0.8148
1560682,519c15946d2955,c89dda20dae66f,c152b30f489721,0,2,155.9,0,0,6,29,0,1,1,9.41,1304,squad-fpp,27,25,1492,1,0.0,0,0.0,0,0,347.4,3,0,0.3462
4402296,653ff0a2e9379a,038734e9095980,665dcf41d7c9dc,0,0,0.0,0,0,0,59,1000,0,0,0.0,1851,solo-fpp,95,93,-1,0,0.0,0,0.0,0,0,390.5,4,1500,0.5106
1722299,c96752c84c9489,a4c594ecfb5774,9d38af055367f9,0,1,40.4,0,0,2,65,0,0,0,0.0,1779,squad-fpp,27,26,1434,0,2114.0,0,0.0,0,0,910.4,4,0,0.3846
3792678,3c20bb0b05686a,685ef743fa877c,7770008bfe2ed5,0,3,0.0,0,0,15,38,0,0,0,0.0,1703,squad,27,24,1497,0,6742.0,0,19.27,0,0,4545.0,7,0,0.8846
3270245,c1f028b2d69566,e957621e347bfb,43d10f2f6e41d5,0,5,276.0,1,2,2,6,0,4,2,39.49,1868,duo-fpp,48,46,1484,0,7376.0,0,47.03,0,0,3946.0,8,0,1.0
1419836,8d66e427e26194,cd567e02903b3f,9cdf457a1ea2e6,0,0,100.0,1,0,0,66,0,0,0,0.0,1853,squad-fpp,31,31,1473,0,0.0,0,0.0,0,0,428.2,5,0,0.3
2889307,582b7fb32cd226,ab899c2d2886e6,40a593cfa78aed,0,1,23.22,0,0,0,71,0,0,0,0.0,1487,squad-fpp,28,26,1409,0,0.0,0,0.0,0,0,223.6,4,0,0.2593
2871127,a9c9bdeb6ea375,57b321461818e0,15162527eba7d3,0,0,68.02,0,0,0,50,1076,0,0,0.0,1822,squad,30,30,-1,0,0.0,0,0.0,0,0,1666.0,4,1511,0.5172
1379381,b9166170a332f6,6d6ed847b3842c,76ac7bf5abfbdb,0,0,0.0,0,0,0,92,0,0,0,0.0,1405,solo-fpp,98,96,1667,0,0.0,0,0.0,0,0,19.67,0,0,0.0619
1830221,e1b6c0663cdd61,095ffc390c898c,95d2d00448b267,0,0,0.0,0,0,0,51,0,0,0,0.0,1377,squad-fpp,30,30,1438,0,0.0,0,0.0,0,0,1284.0,2,0,0.5862
712657,498a70ceaa30a5,809085dcce22dd,e9d203a36b1d0a,0,0,114.0,1,0,2,39,0,1,1,2.033,1395,squad-fpp,28,28,1484,0,0.0,0,0.0,0,0,122.7,1,0,0.1481
2461118,7e7616b7228f22,265b8a6f7a216a,dab959231b692b,0,0,23.4,0,0,0,96,1567,0,0,0.0,1286,squad-fpp,27,27,-1,0,0.0,0,0.0,0,0,72.81,2,1576,0.0
2404821,873558b0e5aee4,b79d9bddd897d4,76ab56c957972f,0,0,66.78,0,0,0,95,1396,0,0,0.0,1449,duo-fpp,49,47,-1,0,0.0,0,0.0,0,0,10.13,0,1512,0.0
1915724,4f538cbb292daf,5a2c8a4211ce65,be05ba5664c1c2,0,4,595.1,3,2,5,2,0,6,2,52.55,1345,squad-fpp,30,30,1511,0,0.0,0,0.0,0,0,3076.0,4,0,1.0
1666686,42e009d107df51,4ff2bf44b0d60e,057dce8c06cae5,1,0,98.0,1,0,0,63,1341,0,0,0.0,1361,squad-fpp,29,29,-1,0,0.0,0,0.0,0,0,1703.0,3,1504,0.5
3067187,f9970ab7f174a3,cb3f0e187cee01,6e823d01a4c3c8,0,0,100.0,0,1,2,31,1172,1,1,176.3,1343,solo-fpp,98,97,-1,0,0.0,0,0.0,0,0,1116.0,4,1494,0.6701
1477084,0de5a62da65744,622db10f55ea6d,cfa881c3d7b07c,0,0,0.0,0,0,0,90,0,0,0,0.0,1778,duo-fpp,48,45,1503,0,0.0,0,0.0,0,0,110.3,2,0,0.0425
1545605,2fe11412564622,ea29fc842ae559,9e248d555cb49f,0,1,0.0,0,0,0,48,0,0,0,0.0,1817,solo-fpp,94,89,1515,0,2595.0,0,43.94,0,0,1770.0,5,0,0.7957
453853,f56ab8122eb41f,20a50673a89253,51d0ef462d6763,0,3,855.1,3,0,4,7,1523,5,1,290.8,1437,squad-fpp,29,29,-1,0,0.0,0,0.0,0,0,3045.0,5,1573,0.9643
2845999,c5615502f2a273,71ca072d10b5e9,8f2d8b3911e40f,1,0,165.9,1,0,0,39,0,1,1,20.95,1716,squad-fpp,27,27,1470,0,0.0,0,0.0,0,0,287.1,2,0,0.2308
451501,69cc179102b606,419f789692c3cf,a262e09ae21743,0,5,653.3,5,1,9,2,1770,5,2,352.3,1771,squad-fpp,28,27,-1,2,424.8,0,176.0,0,0,2999.0,6,1563,0.8148
2111594,581e3660cf2a8e,38a273f4c998a1,47b1fb484b8146,0,0,8.789,0,0,0,60,1000,0,0,0.0,2060,normal-squad-fpp,16,16,-1,0,4332.0,0,0.0,0,0,962.2,5,1500,0.1333
2890174,c7582f47f6caf1,9fc0e3616da68b,02ba3e6fbb11be,0,2,222.8,3,0,0,12,0,3,1,25.08,1723,squad-fpp,29,27,1487,0,0.0,0,0.0,0,0,452.3,3,0,0.1071
1884016,f786731466d1ad,ea7356d48f0299,5f48fae9849f6a,0,7,407.1,3,1,3,8,1119,3,2,40.08,1901,squad,26,23,-1,0,4700.0,0,0.0,0,0,3444.0,6,1499,1.0
2660428,6d42ff3ffbacd4,65428c2124a8d5,2317bd489fcbcb,0,0,100.0,1,0,5,37,992,1,1,7.118,1368,squad,26,24,-1,0,0.0,0,0.0,0,0,140.3,2,1488,0.16
90035,6e29d9556802f0,b21b274a38ddbe,def5aea6b089f7,0,2,235.6,1,0,5,46,1254,0,0,0.0,1314,squad-fpp,27,26,-1,2,94.56,0,0.0,0,0,2912.0,5,1524,0.9615
2758270,561ef4973111ac,2ca5f2aad62180,cbc498c72bc773,1,0,198.0,1,1,1,36,1429,1,1,14.5,1364,squad-fpp,26,25,-1,0,0.0,0,0.0,0,0,130.5,1,1570,0.24
425246,e9c15fbe822c73,60818af97ab939,09da3174faca84,0,2,123.5,0,0,0,60,0,0,0,0.0,1849,squad-fpp,31,29,1443,1,1736.0,0,0.0,0,0,1757.0,6,0,0.5
1341405,02be01fc3da450,352e581e49b36e,27350a4f93412c,0,0,0.0,0,0,0,91,1315,0,0,0.0,1411,duo-fpp,50,49,-1,0,0.0,0,0.0,0,0,9.48,1,1434,0.0408
3062323,6eb306e0f03bb5,e1e17a2f98acfb,d5fbbb075f07d1,0,2,161.5,1,0,0,54,1028,0,0,0.0,1302,duo-fpp,50,49,-1,2,1269.0,0,0.0,0,0,1306.0,6,1508,0.6735
80210,fb664d2ecc06b2,84ea6575fe8946,5a88c2aa934989,0,0,0.0,0,0,0,57,0,0,0,0.0,1458,squad,27,27,1540,0,0.0,0,0.0,0,0,696.8,4,0,0.5
2691825,ed2357a3df191d,f78cf211180f98,e927b3e631b7bf,0,0,129.1,1,0,0,30,0,1,1,13.16,1443,duo-fpp,47,45,1492,0,0.0,0,0.0,0,0,285.0,2,0,0.2826
3166814,320cc42090df01,c01c280fff33a7,3785a30c0d975c,0,1,243.9,1,0,1,10,0,3,2,191.5,1348,duo-fpp,47,46,1509,0,0.0,0,0.0,0,0,2026.0,3,0,0.913
2494158,bc5e30364943b9,bb9f901c5fe77c,c0d82da590e59c,0,3,0.0,0,0,8,46,1000,0,0,0.0,1877,duo-fpp,45,42,-1,1,5295.0,0,0.0,0,0,3038.0,8,1500,0.7955
3525003,31ec9549f76cb9,ec673fef0c37be,8956cb05376e01,0,1,225.5,0,0,1,28,0,1,1,4.285,1911,solo-fpp,95,94,1500,0,0.0,0,0.0,0,0,2812.0,4,0,0.734
1534232,cfa599402c6df1,cc731b4a073d21,8679be1d5a803b,1,2,95.94,0,0,5,74,0,0,0,0.0,1774,squad-fpp,28,27,1382,2,0.0,0,0.0,0,0,247.9,4,0,0.1852
3330821,40adecb7f5c484,1500f5cb8274b9,dbd30a3d2c4aee,0,0,166.3,0,0,5,34,1292,1,1,1.561,1434,solo-fpp,97,93,-1,0,0.0,0,0.0,0,0,56.06,1,1476,0.3854
624551,886e49197652d1,134cdf7bb83530,a08ecddfd2db58,0,5,100.0,0,0,13,26,1342,1,1,231.5,1906,duo-fpp,48,47,-1,0,6913.0,0,0.0,0,0,2963.0,5,1525,0.7447
3803963,dc07834c180bde,f7b9330fd1132c,f7318414d63a90,1,2,247.4,1,1,3,6,0,3,1,73.71,1459,squad-fpp,28,25,1416,2,0.0,0,0.0,0,0,2619.0,5,0,0.8148
1159988,150ab033af1fdf,003fc68fd59c8f,80661d8a274bc1,1,4,219.7,1,0,1,23,0,1,1,69.12,1800,squad-fpp,26,26,1500,1,0.0,0,0.0,0,0,4304.0,6,0,0.88
1793247,00cdfc998304f9,86cc709770e966,d93512c1b46dc0,0,0,0.0,0,0,0,86,0,0,0,0.0,1961,duo,49,46,1500,0,0.0,0,0.0,0,0,150.5,3,0,0.1458
2768293,1ac24ef5071308,5d6e1f75fb08ac,cecc7706c904d4,0,2,0.0,0,0,0,48,0,0,0,0.0,1927,solo,93,87,1493,0,0.0,0,0.0,0,0,2163.0,4,0,0.587
476420,a0988e4da75aed,a1bdeb03f1e34f,8eb34cf95f3487,0,1,61.16,0,0,0,53,0,0,0,0.0,1359,solo-fpp,94,90,1523,0,1081.0,0,0.0,0,0,1325.0,5,0,0.6452
4074815,6221339f55f068,2c2c64e5c8e6c3,9f0221d6cc41a2,0,4,0.0,1,0,1,47,0,0,0,0.0,1866,squad-fpp,29,25,1425,1,7886.0,0,0.0,0,0,1942.0,4,0,0.75
682505,bd22c8a9e71d60,176cb1bf5b52b9,03bab20f9dd504,0,0,68.22,2,0,0,66,0,0,0,0.0,1974,squad,25,25,1532,1,1286.0,0,0.0,0,0,1493.0,7,0,0.2917
2504926,ca5b9a99fc0a46,94e2c8f1632b53,2079818c5cac94,2,3,244.6,0,0,7,20,0,1,1,63.08,1842,solo,99,96,1553,0,3598.0,0,0.0,0,0,1075.0,8,0,0.9694
1133876,11472c208974d8,1b4d5a23cb181b,417bee11042356,0,0,0.0,0,0,0,83,0,0,0,0.0,1298,squad-fpp,28,27,1431,0,0.0,0,0.0,0,0,225.1,3,0,0.1111
1165244,f5c09d4f05321d,b35e7106540449,03ac9b981ab922,0,2,41.2,1,1,0,44,0,1,1,11.05,1955,duo-fpp,50,46,1473,0,0.0,0,0.0,0,0,720.4,5,0,0.3878
3458997,9010071dd363ec,a6b2eac31d3ac0,0a1d9978344932,0,1,0.0,0,0,2,49,0,0,0,0.0,1332,squad-fpp,25,25,1499,0,862.0,0,0.0,0,0,1676.0,3,0,0.5417
1737086,6c54c9eca0262a,804911e3b8cc7e,fe78995bdd5fe3,0,0,12.48,1,0,0,80,0,0,0,0.0,1894,squad-fpp,28,28,1482,0,0.0,0,0.0,0,0,261.5,2,0,0.1111
532917,ce43ca7ff7afdf,42eb71e0237a57,7c423b4ca60820,0,0,82.54,1,0,1,63,0,0,0,0.0,1350,squad-fpp,29,29,1536,0,0.0,0,0.0,0,0,1362.0,3,0,0.6429
2712842,4e88ff879312bd,95ba61b7386552,a459d097a95933,1,4,420.8,3,1,8,7,1580,3,2,158.1,1710,squad-fpp,32,31,-1,2,4942.0,0,0.0,0,0,2245.0,5,1603,0.9355
1986487,aa357dd0b9bc24,9ee48a41488158,ab3c20a0ff2918,0,0,84.94,0,0,1,57,0,0,0,0.0,1916,solo-fpp,97,95,1500,0,2719.0,0,0.0,0,0,693.8,2,0,0.5312
3470852,06ad47c77f33f2,0153c746754be8,758d584c455687,0,0,89.64,0,0,0,96,1451,0,0,0.0,1369,squad-fpp,30,30,-1,0,0.0,0,0.0,0,0,22.02,0,1469,0.0
3607178,6f55c4bf6778c0,d0558d0007ca7c,dde7c39dc5af20,0,6,97.0,1,0,7,44,0,0,0,0.0,1826,squad-fpp,30,30,1490,0,3830.0,0,0.0,0,0,4861.0,6,0,0.9655
3308736,f2a793a8b11103,8fdccbf06fa1e0,f72a0cf73d08ee,0,1,106.2,0,1,1,11,1325,2,1,16.9,1268,squad-fpp,26,26,-1,0,345.3,0,61.43,0,0,3340.0,3,1513,0.88
4190551,a4296053b32967,5fbda0a01768d2,814bfd1582c73a,0,0,0.0,0,0,0,75,0,0,0,0.0,1805,squad-fpp,31,29,1463,0,0.0,0,0.0,0,0,187.3,4,0,0.1667
3871526,e3e65722050d98,884134ad3e11fc,10193caa0ffd0b,0,0,49.35,0,0,0,49,0,0,0,0.0,1384,squad,28,26,1500,0,0.0,0,0.0,0,0,1115.0,2,0,0.7778
1472117,bbd9842664ae02,308373e3a949eb,5ae4b8fa1bc706,0,0,0.0,0,0,0,58,1124,0,0,0.0,1433,duo,49,48,-1,0,0.0,0,0.0,0,0,726.5,6,1470,0.5
1527967,a22e30a2c1d1b3,44efeda66f79f1,a3eae2eaede76e,1,12,682.3,0,1,3,2,0,5,1,28.17,1862,solo-fpp,97,93,1543,0,2108.0,0,0.0,0,0,2238.0,6,0,0.9792
126834,5e9b435050980f,f9241541d821d0,7f40fde87ffc12,0,0,0.0,0,0,0,64,1201,0,0,0.0,1910,solo-fpp,95,91,-1,0,0.0,0,0.0,0,0,382.8,6,1557,0.3617
689622,bd4d0666fd4fa5,1279de745fe6ae,6adf78d1b19fea,0,3,157.4,0,0,2,19,1244,2,2,47.01,1469,squad-fpp,28,26,-1,0,0.0,0,110.0,0,0,2368.0,4,1501,0.8148
411072,451f7155231365,0c207f9f8e28ca,ec9aaa37bae815,0,3,116.7,1,0,3,25,1213,1,1,38.73,1448,duo-fpp,48,43,-1,0,0.0,0,0.0,0,0,1776.0,6,1511,0.9574
2085386,801510a5ae7128,37d0ef12e2a351,2ab1022b6a588f,0,0,0.0,0,0,0,80,0,0,0,0.0,1792,squad,29,29,1442,0,0.0,0,0.0,0,0,345.5,3,0,0.1071
338164,7617f522efa836,417160adcaacff,d8dd516e99753e,0,1,30.31,0,0,0,62,0,0,0,0.0,1394,squad,29,29,1384,0,0.0,0,0.0,0,0,2968.0,4,0,0.4643
4108216,007211f84303cb,fe704856735ec7,6eb3a2575a17ee,0,0,119.3,1,0,0,41,0,1,1,2.55,1319,squad,27,27,1445,0,0.0,0,0.0,0,0,28.62,1,0,0.0769
1548091,d0ad31f63fd030,e4bed7b7eb1c59,b2eaafb2a7c5b0,0,2,200.0,0,0,0,22,0,2,1,23.13,1389,solo-fpp,88,85,1534,0,0.0,0,0.0,0,0,196.5,6,0,0.3793
3519479,e7d6adc92bedf8,e52823ec390c5a,9576fce36c42ef,1,1,23.22,0,0,1,55,0,0,0,0.0,1738,squad-fpp,28,28,1478,0,3911.0,0,0.0,0,0,2837.0,2,0,0.7037
2013139,4e9e73d98adc21,01bc12aad852a0,c50093091be9e1,0,1,136.6,0,0,5,54,0,0,0,0.0,2122,duo,47,44,1496,1,0.0,0,0.0,0,0,1775.0,11,0,0.6304
720663,cf837f0aedc80b,8414c0bb7b7396,a758d00473402b,0,0,96.35,0,0,0,95,1084,0,0,0.0,1431,solo,98,97,-1,0,0.0,0,0.0,0,0,16.85,2,1479,0.0309
1812277,83f77df031e2d7,6898b144f08aab,451bcc0281a09e,0,0,0.0,0,0,0,94,0,0,0,0.0,1887,squad,28,27,1464,0,0.0,0,0.0,0,0,83.07,1,0,0.0
2609866,dc43a75d5ed9b2,bf86dec8d6e271,4df81fb26010e3,0,0,0.0,0,0,0,61,0,0,0,0.0,1351,solo,95,94,1521,0,0.0,0,0.0,0,0,791.4,5,0,0.5106
254624,53476823786758,75e959c8c88977,6ad98dfb9d9963,1,5,313.1,3,0,2,9,0,3,2,242.2,2011,duo-fpp,49,47,1567,0,750.6,0,0.0,0,0,2350.0,5,0,0.7917
4168486,4ae979fe612894,7f1e51644eadc3,20e31be99c5f0a,0,0,100.0,0,0,0,42,0,1,1,15.13,1521,solo-fpp,96,96,1639,0,0.0,0,0.0,0,0,44.01,1,0,0.0947
3332457,9350c1f332ec6b,f1c15154fbb742,5e6a410b2c278e,0,3,74.73,1,0,1,43,0,0,0,0.0,2185,squad,27,27,1498,0,2745.0,0,0.0,0,0,1703.0,8,0,0.7692
11592,fbaddb5a30ff06,1f7c89d54a421f,55fb4ca92ae823,0,1,186.4,0,0,2,64,0,0,0,0.0,2103,normal-squad-fpp,17,17,1500,1,0.0,0,0.0,0,0,318.1,4,0,0.0
1059715,4137fb73b67a25,4c91a5a6dff44e,b46e6071161223,0,0,285.5,1,0,1,20,0,2,2,9.501,1914,duo-fpp,47,46,1714,0,0.0,0,0.0,0,0,474.7,2,0,0.3696
685405,28375f298d1c4a,ebc7d20c00fe09,0822106bc41131,1,3,385.4,2,1,1,15,0,2,1,67.34,1374,squad-fpp,28,27,1416,1,0.0,0,0.0,0,0,636.6,3,0,0.5556
3726072,3fd074e0bbb715,1b66295e2394f9,0e3884e5e0c617,0,0,0.0,0,0,0,73,0,0,0,0.0,1368,duo-fpp,49,49,1476,0,0.0,0,0.003,0,0,0.1271,0,0,0.2917
275813,7ba76673f89cda,3559ae82ce4c76,197ec054322d8e,0,0,264.3,0,1,2,16,0,2,1,46.81,1942,solo,97,93,1525,0,1694.0,0,0.0,0,0,628.9,6,0,0.4167
3201665,4ce0f776bf4887,eb8c61e4071855,5848b1c0e5c319,0,0,354.4,2,0,0,13,1112,3,2,29.86,1366,duo-fpp,50,48,-1,0,0.0,0,0.0,0,0,79.04,1,1458,0.1633
2396687,ca4cb1db7945a9,54fc7ce6e8a0ea,0a0d838991c73c,0,0,0.0,0,0,0,99,1450,0,0,0.0,1371,squad-fpp,29,27,-1,0,0.0,0,0.0,0,0,0.0,0,1537,0.0
2946780,499ac76102b12e,2847dcc62d154b,eac76721fbef44,0,3,194.5,0,0,0,10,1507,2,1,39.76,1381,solo-fpp,96,96,-1,0,0.0,0,0.0,0,0,3260.0,8,1549,0.9579
1820757,e062d8336facf2,01ab1f1376ba2b,d46b4557680c1d,2,4,305.4,0,0,3,13,1008,2,2,50.55,1456,duo,49,48,-1,1,0.0,0,0.0,0,0,2131.0,4,1499,0.9792
3829521,443eedfac2705e,8cf160b65ff3a7,40f923b5761893,0,0,80.8,1,1,0,33,0,1,1,26.76,1389,duo-fpp,49,47,1511,0,0.0,0,0.0,0,0,525.7,4,0,0.4375
442234,e50fa7e0cf4726,e6439dedfd5217,3488d4c8c2a10d,0,2,60.63,0,0,2,56,1295,0,0,0.0,1376,squad-fpp,29,29,-1,2,488.8,0,0.0,0,0,1244.0,2,1568,0.5357
1784113,04e4ba261679d3,ded9d0c0e43f30,9ea8b0a49dbd83,0,1,205.0,1,0,5,31,0,1,1,30.8,1915,squad,27,27,1383,1,0.0,0,0.0,0,0,441.7,3,0,0.2692
2088032,cea183a5cdd126,6b821d32d8c117,db9c2022e2369f,0,0,164.1,1,0,0,35,0,1,1,42.06,1430,squad-fpp,29,29,1501,0,0.0,0,0.0,0,0,52.84,1,0,0.1786
3225026,a5e80ed7d3b235,2e18e8c7bf512b,61078d152834f7,0,2,475.3,3,0,0,6,0,4,2,43.27,1959,duo-fpp,49,46,1498,1,232.2,0,0.0,0,0,2824.0,6,0,0.8333
245814,95c0096f44f2fe,6a04b6e41582c2,65950aececdd8c,0,0,0.0,0,0,0,95,1362,0,0,0.0,1337,duo-fpp,49,48,-1,0,0.0,0,0.0,0,0,0.0,0,1387,0.0
2761802,f54a424f97b6b9,da10929e102a66,e0694d74fc52ab,0,0,0.0,0,0,0,93,1295,0,0,0.0,1168,squad-fpp,27,27,-1,0,0.0,0,0.0,0,0,45.98,1,1476,0.0385
906028,bd794d03835a53,40782d09b678f3,36fbdfcecd9740,0,2,100.0,0,0,5,31,1011,1,1,6.183,1357,squad-fpp,28,28,-1,1,0.0,0,0.0,0,0,1760.0,11,1504,0.6667
4376701,850d7dd0f40d3a,fa435d55dfbf30,7c6f177a71715a,0,0,59.41,0,0,0,73,0,0,0,0.0,1833,duo-fpp,50,50,1503,0,0.0,0,0.0,0,0,916.3,5,0,0.3265
3471819,7ffd171596d75a,f03e1ac48cb850,6eafbdf67e6dbb,0,0,0.0,0,0,0,76,0,0,0,0.0,1366,duo-fpp,48,47,1497,0,0.0,0,0.0,0,0,82.78,2,0,0.2128
1436489,16df4467dd1909,c0d7b134c6fee7,6a88fd55179e1f,0,0,0.0,0,0,0,90,0,0,0,0.0,1365,duo,48,45,1514,0,0.0,0,0.0,0,0,0.0,0,0,0.0
2383546,1d33a2f49fcb56,778392dc891ea0,6e67b665f0c029,0,0,94.81,0,0,0,52,1037,0,0,0.0,1966,duo-fpp,49,48,-1,0,0.0,0,0.0,0,0,1632.0,5,1502,0.6042
3647164,db61a34dcf02b2,bb9ae1c47f7567,966ea0e60b9add,1,0,68.12,1,0,0,36,1531,1,1,7.966,1320,squad-fpp,29,26,-1,0,0.0,0,0.0,0,0,94.75,2,1555,0.1429
2932974,60ec52e958784f,99807547ae12cb,a78d2fb93c6a6d,0,3,40.16,0,0,0,46,0,0,0,0.0,1857,squad,29,28,1507,0,2660.0,0,0.0,0,0,1895.0,8,0,0.6071
308357,b1cfee741434d7,1d67f9c8c2f296,3237ea30d69e58,0,1,238.6,3,1,1,32,0,1,1,29.63,1219,squad-fpp,25,25,1512,0,0.0,0,0.0,0,0,250.2,1,0,0.4167
1863846,95b77328c93118,bf861ef6f86f5d,84e5b702f2485a,0,1,32.34,0,0,0,80,0,0,0,0.0,1962,squad-fpp,30,29,1500,0,0.0,0,0.0,0,0,244.5,1,0,0.1379
