User_ID,K_Shell,Out_Degree,Reposts,Replies,Mentions,Favorites,Interest_Topic,Bio_Content,Profile_Likes,User_Games,Verified_Status,Posts_on_Topic,Bonus,Unique_Pageviews,Scroll_Depth_Percent,Timestamp,Impressions,Engagement_Per_Impression
User_35,4.862528132298237,14,54,42,9,58,0.5934613827047238,0,96,8,1,2,0.32018621940405534,362,72.97417694389034,2023-01-02 10:00:00,831,0.34633056653973626
User_36,4.233589392465845,15,5,40,9,42,0.0162434432094537,1,116,11,0,86,0.91344469847559,386,32.16436606928559,2023-01-02 11:00:00,385,0.2572294162788086
User_37,2.2184550766934827,7,34,8,26,11,0.7287780544506475,0,198,5,1,84,0.40922548019179594,150,91.30669802765136,2023-01-02 12:00:00,855,0.3928644660966285
User_38,1.3906884560255355,9,21,23,1,39,0.3235304124854915,0,319,18,1,22,0.7482337164935092,352,19.39343122745461,2023-01-02 13:00:00,967,0.27949630331189795
User_39,3.7369321060486276,48,42,36,29,117,0.6650559890066311,1,485,18,0,67,0.11346219170657401,367,98.44194156321932,2023-01-02 14:00:00,357,0.6704338656069503
User_40,2.760609974958405,8,14,48,8,19,0.5565784285021533,1,20,14,1,20,0.24756450814178466,105,87.42230298797182,2023-01-02 15:00:00,669,0.6121602984178807
User_41,1.4881529393791153,23,85,40,16,165,0.3427309254279072,0,199,10,0,42,0.8073456212003686,438,71.91087809311676,2023-01-02 16:00:00,647,0.4443299413038281
User_42,2.9807076404450807,29,59,16,10,130,0.13457626710410775,1,370,3,0,94,0.7629929362896941,379,94.48748994518496,2023-01-02 17:00:00,939,0.393247017943655
User_43,1.1375540844608736,18,11,23,9,155,0.09441889766048095,1,446,9,1,84,0.38615591859382115,236,75.0080051491337,2023-01-02 18:00:00,589,0.31385278017517826
User_44,4.637281608315128,31,48,20,21,183,0.8315183331122236,1,340,3,1,25,0.9543969020334743,202,27.141129732704133,2023-01-02 19:00:00,597,0.5819124780634071
User_45,2.0351199264000677,30,41,38,24,89,0.918397542081558,0,447,11,1,40,0.9106430158345454,312,49.79405243015306,2023-01-02 20:00:00,993,0.9270124879111195
User_46,3.650089137415928,39,37,40,16,93,0.6497880467642996,0,247,12,0,98,0.9623007491122398,323,16.435272189847183,2023-01-02 21:00:00,804,0.7171327462500434
User_47,2.246844304357644,35,81,38,3,12,0.10343411486048337,1,275,12,1,37,0.4279146901877854,398,45.069168005930386,2023-01-02 22:00:00,432,0.7699732426320106
User_48,3.0802720847112433,18,44,12,15,65,0.4020272168882407,1,263,3,0,87,0.19747358368568302,386,76.74427177634878,2023-01-02 23:00:00,661,0.8509400772907669
User_49,3.1868411173731186,42,34,10,19,36,0.7289392001051572,0,57,7,0,10,0.626658639091341,470,44.779901583773565,2023-01-03 00:00:00,131,0.41647147600406387
User_50,1.7394178221021082,39,29,45,14,176,0.7798208840100681,1,301,14,1,28,0.6847731582791985,127,39.72647579213207,2023-01-03 01:00:00,709,0.15658820390303888
User_51,4.878338511058234,17,87,18,24,65,0.1182186222910886,0,30,11,1,59,0.12544178445052,14,63.58201502592807,2023-01-03 02:00:00,142,0.6603029229894798
User_52,4.100531293444458,14,29,10,26,35,3.071884538241587e-05,1,497,7,1,66,0.7864830342959059,453,88.49840760990055,2023-01-03 03:00:00,992,0.26980506210522937
User_53,4.757995766256757,31,77,12,20,181,0.712137045880605,1,248,10,0,64,0.018060219759960527,361,14.282487329150118,2023-01-03 04:00:00,450,0.6121392849960996
User_54,4.579309401710596,24,5,45,4,25,0.35659617598620563,1,92,11,1,60,0.48272838747678337,252,44.692339122976186,2023-01-03 05:00:00,433,0.7655592098413583
User_55,3.3915999152443406,35,66,44,5,74,0.25448133161826025,0,495,15,0,18,0.3310162594948949,30,24.241666763373644,2023-01-03 06:00:00,921,0.8052744719330529
User_56,4.687496940092467,44,79,0,16,199,0.01289746978952544,0,264,19,1,45,0.7403030598990841,161,72.58188256586827,2023-01-03 07:00:00,658,0.371655208222764
User_57,1.353970008207678,45,6,39,0,107,0.5402994067614997,0,270,16,1,48,0.31276072742181593,137,19.51521043880214,2023-01-03 08:00:00,369,0.5611899093123837
User_58,1.7839314496765808,34,51,43,24,167,0.8511507354259817,0,93,12,0,21,0.8268071127810328,133,69.83269827222202,2023-01-03 09:00:00,922,0.6588685866494731
User_59,1.1809091556421523,3,13,18,18,42,0.9576316462725879,1,153,18,0,77,0.5949534887808106,155,35.75627837181166,2023-01-03 10:00:00,512,0.8375326495305597
User_60,2.3013213230530574,37,72,11,3,149,0.5657449506132892,1,393,13,1,56,0.793893361762072,286,27.902513236350224,2023-01-03 11:00:00,674,0.7852497985944527
User_61,2.554709158757928,43,14,7,16,147,0.5144613277398942,0,284,5,1,13,0.9893406378396238,319,94.27173020424868,2023-01-03 12:00:00,118,0.9891777888796333
User_62,2.0853961270955836,40,20,7,8,7,0.0850563854892411,1,79,4,1,43,0.6791583457435568,403,11.667211907136029,2023-01-03 13:00:00,446,0.1072762088770098
User_63,4.314950036607717,26,34,44,23,28,0.5488728015425998,1,291,14,1,15,0.9849503163616441,161,49.3999544700612,2023-01-03 14:00:00,712,0.49374049677681975
User_64,2.427013306774357,23,65,11,1,39,0.3799790789653946,0,83,8,1,96,0.028836326921705346,369,11.94642932156144,2023-01-03 15:00:00,136,0.3304400377385151
User_65,2.123738038749523,44,90,47,7,157,0.6071352808835769,1,364,9,0,76,0.33813998848380844,120,53.52337432938961,2023-01-03 16:00:00,718,0.20790404843038607
User_66,3.170784332632994,39,1,32,14,127,0.3887263478765467,1,373,19,0,11,0.10785326456230915,478,55.09426400149764,2023-01-03 17:00:00,191,0.9203637953504662
User_67,1.5636968998990506,15,34,44,6,83,0.24029912345036675,0,36,3,0,54,0.26230493138443955,482,38.94962242552723,2023-01-03 18:00:00,919,0.9981658594861177
User_68,4.208787923016159,49,81,25,26,115,0.0949652752283765,1,341,5,0,50,0.8388878991257744,125,21.89455997725213,2023-01-03 19:00:00,284,0.2625365871142513
User_69,1.2982025747190833,4,77,38,5,182,0.31491844458889573,1,326,18,1,38,0.03232326532609031,197,43.87487839610278,2023-01-03 20:00:00,827,0.13459005352122724
User_70,4.947547746402069,29,19,27,0,143,0.09664483428775228,1,406,1,0,32,0.5201829357323937,66,70.50366459393095,2023-01-03 21:00:00,127,0.34754900291245033
User_71,4.08897907718663,22,81,4,14,173,0.17689695082398393,0,424,8,0,32,0.567128707532373,260,80.41562277800132,2023-01-03 22:00:00,647,0.8513757262597561
User_72,1.7948627261366896,25,9,7,22,61,0.9873361585795459,0,231,19,0,28,0.5611511466719561,393,57.76755421493281,2023-01-03 23:00:00,471,0.3645010748793851
User_73,1.0220884684944096,13,24,24,25,6,0.4441035569066186,1,92,17,1,68,0.4752970738232557,416,63.085095499578,2023-01-04 00:00:00,931,0.15121133244785942
User_74,4.261845713819337,18,65,26,6,44,0.5318717665050166,1,335,17,0,69,0.7906029647697553,159,28.05547340121874,2023-01-04 01:00:00,629,0.14724296555772692
User_75,3.8274293753904685,33,24,45,28,186,0.8736185287372153,1,101,11,1,30,0.13354308950555116,461,35.85972999048845,2023-01-04 02:00:00,444,0.4846805221324928
User_76,3.9160286721639492,16,53,22,29,183,0.9955689004906878,0,411,2,0,79,0.3105770155507873,171,24.57060490471226,2023-01-04 03:00:00,518,0.9386431507554577
User_77,4.0850813867437825,45,32,29,24,175,0.5827144493446815,0,431,6,1,30,0.6157260534451727,129,32.436581500415016,2023-01-04 04:00:00,295,0.3573283974756688
User_78,1.2961786069363614,42,35,44,16,154,0.8124738210441717,0,165,14,0,88,0.6909513662679558,79,30.23981022029786,2023-01-04 05:00:00,177,0.4844419126309394
User_79,2.4338629141770904,44,94,46,1,180,0.32694102433667527,1,158,3,1,45,0.4041484317770563,421,56.750390775211386,2023-01-04 06:00:00,266,0.1917404248443477
User_80,1.4634762381005189,2,13,22,26,87,0.3057439574472911,1,13,12,0,96,0.8753712633272331,360,60.641988021165645,2023-01-04 07:00:00,189,0.544215513942083
User_81,4.4524137035023745,35,64,48,8,72,0.4027037209945602,1,372,4,1,76,0.41549339669591434,108,95.0452678739354,2023-01-04 08:00:00,363,0.7268923578571336
User_82,3.4931925073102317,42,79,46,28,162,0.6725072626736491,1,224,12,1,51,0.40277613434833315,176,27.601358239137074,2023-01-04 09:00:00,571,0.34403532505949763
User_83,2.3235920994105967,34,53,19,8,178,0.6821916892550988,1,72,13,0,9,0.036207261487384956,307,67.75081391453463,2023-01-04 10:00:00,307,0.3670401776758163
User_84,1.2542334011440945,30,51,17,12,36,0.3152394346494508,0,248,2,1,87,0.5511413361947338,160,83.55333420887706,2023-01-04 11:00:00,823,0.8577775228656441
User_85,2.243929286862649,13,2,17,5,118,0.1332099241366287,1,90,2,1,73,0.7086808385119051,335,60.421731740474726,2023-01-04 12:00:00,370,0.10932735011245938
User_86,2.300733288106988,13,98,1,5,56,0.6323962564655086,1,215,15,0,40,0.1144381635168481,473,32.95032872509681,2023-01-04 13:00:00,362,0.6728236376950874
User_87,3.9184247133522563,18,40,3,19,7,0.12832586218876452,1,460,17,0,94,0.30543276608787084,11,33.62952070180002,2023-01-04 14:00:00,605,0.45449617144745524
User_88,3.5502298854208525,32,5,29,19,94,0.5784925082293301,0,89,7,1,76,0.7812569537828522,161,13.532774776389992,2023-01-04 15:00:00,884,0.36854246220532216
User_89,4.548850970305306,32,24,32,20,116,0.693422128056309,1,28,14,0,2,0.3659194354135754,410,37.48998038936335,2023-01-04 16:00:00,611,0.6918344490194894
User_90,2.888859700647797,35,12,35,2,109,0.7006114963944516,0,434,12,0,58,0.24160246204003988,374,77.01433111030421,2023-01-04 17:00:00,953,0.8512016696107346
User_91,1.4783769837532068,39,97,17,16,19,0.7534721106595967,0,304,17,0,51,0.6722006635651122,74,14.276598148639934,2023-01-04 18:00:00,825,0.6025529046958064
User_92,3.85297914889198,46,7,36,16,123,0.8728594215656645,0,426,14,1,33,0.19675877767165562,335,29.736575425434758,2023-01-04 19:00:00,985,0.1279851597487504
User_93,4.04314019446759,29,20,18,11,52,0.49995899196478844,0,475,6,1,48,0.8956529195831768,78,73.56092486786036,2023-01-04 20:00:00,675,0.5152610717430185
User_94,3.245108790277985,49,97,46,15,118,0.7302491895295712,0,219,19,1,27,0.10559839602614096,130,80.4386406540589,2023-01-04 21:00:00,623,0.5164839468045758
User_95,4.083868719818244,29,67,27,14,11,0.6191727353658367,1,327,6,1,82,0.7065498022828269,118,50.97865690557356,2023-01-04 22:00:00,821,0.5894186453241471
User_96,2.975182385457563,44,24,39,12,176,0.18663993979768256,1,214,18,1,86,0.4995487012863752,325,72.82669046307839,2023-01-04 23:00:00,411,0.703863010939197
User_97,3.0909313175279762,16,78,19,22,16,0.025689644869408168,0,220,5,1,95,0.8699295623969936,256,44.91569517894028,2023-01-05 00:00:00,273,0.1173865631809064
User_98,2.7101640734341985,44,67,48,0,63,0.28454138567693377,0,388,6,1,12,0.1261950910262366,443,24.392192052171474,2023-01-05 01:00:00,530,0.5518113619597754
User_99,1.1016765069763808,47,44,32,16,41,0.4430337063376194,0,41,2,0,96,0.6778949184960879,102,45.83345441706159,2023-01-05 02:00:00,867,0.6294769924425316
User_100,1.4315657079732178,10,59,11,2,93,0.6171059444286563,1,134,8,1,97,0.5720546391813814,277,62.197103818282855,2023-01-05 03:00:00,562,0.4090180477744467
User_101,1.125716742746937,30,11,14,25,156,0.8499593305032054,1,41,15,1,96,0.4800901422400464,112,95.32479536676013,2023-01-05 04:00:00,200,0.7015287039313898
User_102,3.5456416450551216,25,31,40,14,146,0.19624571670616564,0,163,15,0,68,0.4914072634326684,440,16.18758568798096,2023-01-05 05:00:00,115,0.305359945416254
User_103,2.2574239243053067,39,95,38,3,10,0.1255497898984771,1,360,11,0,66,0.7219769617985308,460,55.665468446046454,2023-01-05 06:00:00,808,0.3856350997607064
User_104,3.034282764658811,20,91,1,3,97,0.9634799474743275,1,282,1,0,60,0.9377416549348221,121,39.60278003896519,2023-01-05 07:00:00,357,0.9664798126818934
User_105,4.6302658957043725,5,12,28,17,177,0.10804455937640711,0,57,18,1,59,0.09125165911904809,330,55.74805248490251,2023-01-05 08:00:00,995,0.4132633337750261
User_106,1.9971689165954998,1,30,40,16,70,0.47849107010718916,0,301,12,0,70,0.01950264761052023,420,12.15779026388785,2023-01-05 09:00:00,343,0.4118507986291705
User_107,2.641531692142519,30,77,9,18,107,0.5855637287933019,1,321,12,1,23,0.8057047924812035,313,38.17228192314232,2023-01-05 10:00:00,447,0.6361125722408038
User_108,4.022204554172195,49,19,1,10,57,0.5413744209074383,1,24,11,1,62,0.10816938755075933,353,83.78813327743045,2023-01-05 11:00:00,348,0.9738777968740542
User_109,1.9151926619664899,3,17,10,19,33,0.0860321570329432,1,72,8,1,85,0.9866967960804238,71,59.85475604691737,2023-01-05 12:00:00,204,0.9847724013577003
User_110,1.307919639315172,45,92,12,2,19,0.05702691400361937,0,372,7,0,60,0.6193482489588372,309,50.55242435345057,2023-01-05 13:00:00,793,0.6216921673086845
User_111,2.159005811655072,14,59,9,7,49,0.10548342746103567,0,410,2,0,22,0.6508663952541407,412,35.697256454380565,2023-01-05 14:00:00,766,0.10097831782443928
User_112,1.6448851490160177,30,62,13,13,101,0.5855876838726125,0,128,11,1,29,0.1988917029380174,452,36.82382705122203,2023-01-05 15:00:00,386,0.9105908956915597
User_113,4.718790609370292,4,5,17,25,137,0.5443448876343211,1,86,10,1,59,0.24031231029667444,145,44.4791290231526,2023-01-05 16:00:00,268,0.6132141681193433
User_114,4.232481518257668,18,31,8,0,159,0.23374079203674425,1,329,3,1,17,0.6593503030992501,64,85.20136389681043,2023-01-05 17:00:00,519,0.42939676746094224
User_115,3.533615026041694,37,92,38,13,51,0.6377741418455916,0,425,10,0,95,0.909726837934197,117,97.04918861274416,2023-01-05 18:00:00,146,0.8462756269143444
User_116,4.485842360750871,25,42,27,1,14,0.8200675020556494,1,435,18,1,55,0.9823905545175666,312,49.47898432153371,2023-01-05 19:00:00,142,0.4598492134151846
User_117,4.214688307596457,48,1,2,28,83,0.041578959846593766,0,152,14,0,52,0.19803094663109366,267,45.401755487298566,2023-01-05 20:00:00,420,0.1306400555802382
User_118,1.7462802355441434,1,59,19,22,130,0.4981299435480424,1,181,18,1,6,0.13411962270979016,262,86.18956982378765,2023-01-05 21:00:00,917,0.8389650007513169
User_119,4.570235993959911,46,22,5,3,36,0.6893104121026903,0,124,8,0,96,0.05640135776079047,231,48.421478857267324,2023-01-05 22:00:00,320,0.5912734609177861
User_120,3.157368967662603,15,82,26,23,125,0.2523119270696871,1,66,10,1,68,0.8682970181613279,487,59.68163550660861,2023-01-05 23:00:00,612,0.40432918440177656
User_121,4.229760620656251,9,30,1,26,39,0.3077709052931491,1,5,13,0,91,0.29471484685646876,378,30.784749813887,2023-01-06 00:00:00,811,0.3258031387184661
User_122,4.584365199693973,15,4,28,28,71,0.6136379029893838,0,124,8,0,71,0.0018120338692516613,176,76.91522822011677,2023-01-06 01:00:00,540,0.6344177134738831
User_123,2.2720138998874555,49,82,37,18,39,0.8979352934437369,0,313,4,0,78,0.22381808605642883,438,57.87894864437037,2023-01-06 02:00:00,243,0.2872445934025901
User_124,1.440207698110707,24,33,2,5,55,0.8099244203028994,0,325,4,0,51,0.3404410800994184,169,82.81310952163075,2023-01-06 03:00:00,989,0.39146579790130287
User_125,1.9117406501677667,4,9,15,24,150,0.5831302190995835,0,52,5,0,3,0.9909861694966853,458,80.26594570258027,2023-01-06 04:00:00,127,0.6728772784725853
User_126,2.7084311545050253,12,88,29,0,103,0.7302217177572492,0,65,1,0,33,0.5235415938570817,175,29.35042914430257,2023-01-06 05:00:00,953,0.8933900053653387
User_127,4.272059063689973,37,1,39,16,138,0.3648224702077987,1,313,17,1,68,0.2047139475951013,214,74.40719955019861,2023-01-06 06:00:00,949,0.5796012955524389
User_128,4.442922333025374,37,10,1,7,109,0.6409655280987577,0,81,2,1,32,0.33481834471345107,276,82.00489671562343,2023-01-06 07:00:00,889,0.7831957584691833
User_129,1.0278085221247628,43,49,16,18,191,0.46618159112755697,0,86,8,1,68,0.33030768755687845,147,41.14965167041556,2023-01-06 08:00:00,652,0.7867545433867377
User_130,3.042989210310263,6,30,40,20,135,0.1899361364575609,0,1,7,1,37,0.019725746463175486,377,25.534820161204706,2023-01-06 09:00:00,943,0.6979185573934481
User_131,2.669644012595116,39,55,11,0,92,0.7017382738772572,0,203,15,0,97,0.13518305417143006,452,10.236894002162936,2023-01-06 10:00:00,758,0.3212545039124659
User_132,1.888431241882921,46,78,34,4,93,0.556464637348822,0,149,5,1,25,0.6951964597032112,355,50.58132877838334,2023-01-06 11:00:00,956,0.8801097383352177
User_133,1.4794614693347312,24,72,42,26,55,0.3586215819535914,1,292,2,0,0,0.12025098657073463,257,41.71894583849574,2023-01-06 12:00:00,789,0.49264809007560983
User_134,2.350460685614512,11,86,0,15,59,0.9113391900786307,0,403,7,0,3,0.23073427660611878,64,59.941885044286806,2023-01-06 13:00:00,926,0.1397896695421305
User_135,4.771638815650077,13,82,44,5,137,0.020934117826733267,0,102,8,0,38,0.3507372984043088,413,26.923698332990718,2023-01-06 14:00:00,936,0.3201514030625726
User_136,2.292811728083021,34,8,14,7,38,0.315773151249496,0,23,7,1,53,0.7577349445022937,218,87.36989928998277,2023-01-06 15:00:00,266,0.7889935186893842
User_137,3.0751624869734644,25,98,25,12,27,0.05688139777764656,1,367,7,0,89,0.5824009648679398,26,33.197969406529865,2023-01-06 16:00:00,734,0.16222000223574046
User_138,3.8120758355807114,7,20,36,15,48,0.7665273162216272,1,211,14,1,32,0.6889999849885683,77,30.378664457888497,2023-01-06 17:00:00,685,0.2326279619394201
User_139,2.454518409517176,4,72,20,29,163,0.7021074541137926,0,64,18,1,32,0.5670123254201722,142,53.264265083592036,2023-01-06 18:00:00,850,0.724804134437534
User_140,4.887128330883843,8,27,48,2,124,0.33135221873631704,0,448,6,1,71,0.683592425221869,197,54.89659213698468,2023-01-06 19:00:00,348,0.9033407107547865
User_141,4.849789179768445,20,61,30,18,12,0.675662902207073,1,208,4,1,19,0.0028421536639724465,416,29.357670590658355,2023-01-06 20:00:00,874,0.6703588045518731
User_142,2.0071291833014566,29,6,24,11,35,0.39593722619594984,1,250,10,1,15,0.9308981443714295,439,34.46746540533242,2023-01-06 21:00:00,863,0.30006194844659917
User_143,2.988994023569542,45,79,22,15,100,0.7562537914224343,1,384,18,0,20,0.11092023087480651,317,25.273471523972045,2023-01-06 22:00:00,456,0.14807238692459376
User_144,2.2035132392670786,46,15,23,26,25,0.4541836627367061,0,116,12,0,44,0.40624909597690484,147,74.661416049085,2023-01-06 23:00:00,210,0.6536139242952805
User_145,2.1393619775098704,10,96,37,10,85,0.41227972783166555,0,115,16,1,89,0.7710383702448548,183,79.30801281286737,2023-01-07 00:00:00,791,0.1426587201380476
User_146,1.1475477894181312,43,3,27,9,3,0.934729915488301,1,236,7,0,86,0.4352307180094239,421,51.609564771335435,2023-01-07 01:00:00,799,0.6514498467475813
User_147,3.4382573359195874,34,3,20,24,81,0.25087909989070023,0,477,6,1,81,0.9468425516675159,106,74.26783204165157,2023-01-07 02:00:00,919,0.30302194974498553
User_148,3.010716092915446,26,39,42,19,191,0.12044733999656543,1,104,5,0,61,0.46758894849876675,180,76.23418527437009,2023-01-07 03:00:00,818,0.9141904561679467
User_149,1.2059150049999574,41,16,17,3,165,0.5845431132594582,1,494,3,0,30,0.8749394056026714,163,22.444797491002774,2023-01-07 04:00:00,333,0.5275834016386257
User_150,2.1145858569464457,49,51,35,11,126,0.9693218122841789,1,258,12,0,41,0.8108281133622709,192,96.9560222351083,2023-01-07 05:00:00,123,0.30154458997872613
User_151,4.633063543866615,3,92,34,22,87,0.37783921372718665,0,45,15,0,11,0.9809863027986832,251,83.8928752386788,2023-01-07 06:00:00,125,0.8678307849027325
User_152,1.9582475626678897,6,51,44,1,126,0.06203676362878152,1,310,10,0,64,0.9265477807509754,313,28.403511507624117,2023-01-07 07:00:00,480,0.3286318586027575
User_153,1.5795794883648924,5,35,8,23,119,0.33930526730956745,1,330,19,0,72,0.8981238347128787,294,26.754853217146323,2023-01-07 08:00:00,829,0.375939168872388
User_154,2.957811041110252,5,37,37,21,21,0.5059316543195584,0,215,16,0,2,0.7316043405194683,36,21.309503102162445,2023-01-07 09:00:00,445,0.8508501091499101
User_155,4.942601816442403,47,49,29,18,129,0.1619230066322137,1,469,11,0,89,0.3669981472682208,411,22.454070628772655,2023-01-07 10:00:00,477,0.3779128268205364
User_156,1.9682210860460017,23,62,43,24,30,0.658102218056492,0,447,8,0,8,0.10612541856490243,369,77.33456191258266,2023-01-07 11:00:00,621,0.46914739230757363
User_157,3.688542189623514,49,62,33,4,118,0.9977493890102006,1,491,3,0,50,0.68864505226439,69,52.26888312564612,2023-01-07 12:00:00,116,0.4128991036829799
User_158,4.04647846131487,9,61,31,7,10,0.4517394759814438,0,300,7,0,15,0.9786540813379649,211,80.46407554658805,2023-01-07 13:00:00,344,0.20476028604733826
User_159,1.9505501759695987,35,98,2,6,45,0.35472855673021264,1,409,7,0,87,0.726604437331869,259,77.16294049151848,2023-01-07 14:00:00,817,0.13500623102214354
User_160,3.9128653944474383,20,6,2,13,95,0.40070416683446664,1,332,14,0,77,0.9287293692773355,371,64.41514421546995,2023-01-07 15:00:00,869,0.7520866066548831
User_161,2.471132530877013,49,26,27,23,189,0.11514617839520114,1,448,2,1,2,0.8043047129555168,78,71.77299459208116,2023-01-07 16:00:00,723,0.6806234115421486
User_162,3.529223322374318,42,91,43,22,196,0.8832736014262238,1,23,10,0,97,0.16311467511667876,467,11.652015194122761,2023-01-07 17:00:00,816,0.3541294607968515
